clase,ejecucion,tiempo_ms,memoria_kb
OrdenarArray,30,50,53752
OrdenarArray,31,60,53880
OrdenarArray,32,50,40920
OrdenarArray,33,60,56812
OrdenarArray,34,50,40956
OrdenarArray,35,50,53592
OrdenarArray,36,50,53736
OrdenarArray,37,60,53624
OrdenarArray,38,60,53736
OrdenarArray,39,70,53496
OrdenarArray,40,50,54012
OrdenarArray,41,70,56820
OrdenarArray,42,70,56448
OrdenarArray,43,70,55544
OrdenarArray,44,60,57072
OrdenarArray,45,70,56536
OrdenarArray,46,70,56448
OrdenarArray,47,70,53760
OrdenarArray,48,50,53500
OrdenarArray,49,70,53720
OrdenarArray,50,50,56280
OrdenarArray,51,50,40684
OrdenarArray,52,70,53848
OrdenarArray,53,60,57336
OrdenarArray,54,80,56960
OrdenarArray,55,50,53504
OrdenarArray,56,80,56824
OrdenarArray,57,50,53752
OrdenarArray,58,70,53748
OrdenarArray,59,50,53624
OrdenarArray,60,70,56808
OrdenarArray,61,50,53620
OrdenarArray,62,70,53752
OrdenarArray,63,50,40576
OrdenarArray,64,70,53628
OrdenarArray,65,70,56696
OrdenarArray,66,70,53496
OrdenarArray,67,50,53484
OrdenarArray,68,70,56440
OrdenarArray,69,50,56664
OrdenarArray,70,70,56320
OrdenarArray,71,50,53756
OrdenarArray,72,70,53976
OrdenarArray,73,70,56300
OrdenarArray,74,70,56536
OrdenarArray,75,50,40440
OrdenarArray,76,70,53756
OrdenarArray,77,50,53464
OrdenarArray,78,70,57048
OrdenarArray,79,50,56432
OrdenarArray,80,70,56428
OrdenarArray,81,50,53848
OrdenarArray,82,70,53884
OrdenarArray,83,50,53744
OrdenarArray,84,70,54128
OrdenarArray,85,60,56172
OrdenarArray,86,80,56824
OrdenarArray,87,50,56564
OrdenarArray,88,70,53996
OrdenarArray,89,70,56812
OrdenarArray,90,70,56052
OrdenarArray,91,50,53488
OrdenarArray,92,70,56432
OrdenarArray,93,60,56932
OrdenarArray,94,70,57208
OrdenarArray,95,60,56816
OrdenarArray,96,50,56684
OrdenarArray,97,80,56312
OrdenarArray,98,50,40952
OrdenarArray,99,70,56568
OrdenarArray,100,60,56452
FuncionTangente,1,70,58740
FuncionTangente,2,60,58480
FuncionTangente,3,60,57976
FuncionTangente,4,70,58864
FuncionTangente,5,70,58608
FuncionTangente,6,70,56952
FuncionTangente,7,70,57712
FuncionTangente,8,70,58488
FuncionTangente,9,60,57588
FuncionTangente,10,70,57592
FuncionTangente,11,60,57816
FuncionTangente,12,70,57712
FuncionTangente,13,60,58488
FuncionTangente,14,70,57592
FuncionTangente,15,70,57344
FuncionTangente,16,60,57976
FuncionTangente,17,60,58872
FuncionTangente,18,70,57724
FuncionTangente,19,60,57324
FuncionTangente,20,80,58116
FuncionTangente,21,70,57336
FuncionTangente,22,70,58496
FuncionTangente,23,70,58096
FuncionTangente,24,60,57464
FuncionTangente,25,60,58756
FuncionTangente,26,60,57812
FuncionTangente,27,60,57852
FuncionTangente,28,60,56940
FuncionTangente,29,60,58360
