className,run,durationMs,cpuSamples,heapUsedMB,gcCount,gcPauseMs,topMethod
Code.Java.Abacus.v1.Refactored.MediaArmonica,039,0,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.MediaArmonica,089,0,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.MediaArmonica,029,1,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.MediaArmonica,072,0,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.MediaArmonica,047,1,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.MediaArmonica,076,1,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.MediaArmonica,011,1,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.MediaArmonica,079,5,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.MediaArmonica,092,0,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.MediaArmonica,015,7,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.MediaArmonica,073,0,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.MediaArmonica,084,1,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.MediaArmonica,008,0,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.MediaArmonica,045,0,1,0,0,0,java.lang.invoke.LambdaFormEditor.<init>
Code.Java.Abacus.v1.Refactored.MediaArmonica,069,0,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.MediaArmonica,002,1,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.MediaArmonica,054,0,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.MediaArmonica,062,0,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.MediaArmonica,066,0,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.MediaArmonica,075,1,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.MediaArmonica,057,0,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.MediaArmonica,095,0,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.MediaArmonica,036,0,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.MediaArmonica,043,1,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.MediaArmonica,099,0,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.MediaArmonica,040,1,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.MediaArmonica,041,4,0,0,0,0,N/A
